date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
11/24/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2925176.0,321740108.24,8.82,2020-11-24
11/24/2020,ARKG,INVITAE CORP,NVTA,46185L103,6206187.0,289518623.55,7.94,2020-11-24
11/24/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,17654378.0,254399586.98,6.98,2020-11-24
11/24/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3627627.0,218165487.78,5.98,2020-11-24
11/24/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1919934.0,199999524.78,5.48,2020-11-24
11/24/2020,ARKG,TELADOC HEALTH INC,TDOC,87918A105,832048.0,155110388.16,4.25,2020-11-24
11/24/2020,ARKG,CAREDX INC,CDNA,14167L103,2522857.0,140371763.48,3.85,2020-11-24
11/24/2020,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,1075846.0,126153701.96,3.46,2020-11-24
11/24/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3390218.0,125980500.88,3.45,2020-11-24
11/24/2020,ARKG,PERSONALIS INC,PSNL,71535D106,4557257.0,115207456.96,3.16,2020-11-24
11/24/2020,ARKG,CELLECTIS - ADR,CLLS,15117K103,5059711.0,114147080.16,3.13,2020-11-24
11/24/2020,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3567728.0,109457895.04,3.0,2020-11-24
11/24/2020,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,1974970.0,109156591.9,2.99,2020-11-24
11/24/2020,ARKG,VERACYTE INC,VCYT,92337F107,2038651.0,105765213.88,2.9,2020-11-24
11/24/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,5139468.0,101555887.68,2.78,2020-11-24
11/24/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2409636.0,83879429.16,2.3,2020-11-24
11/24/2020,ARKG,INCYTE CORP,INCY,45337C102,974566.0,78686458.84,2.16,2020-11-24
11/24/2020,ARKG,ACCOLADE INC,ACCD,00437E102,1406848.0,70806659.84,1.94,2020-11-24
11/24/2020,ARKG,COMPUGEN LTD,CGEN,M25722105,5745076.0,70089927.2,1.92,2020-11-24
11/24/2020,ARKG,BERKELEY LIGHTS INC,BLI,084310101,789300.0,65109357.0,1.79,2020-11-24
11/24/2020,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,2026424.0,58806824.48,1.61,2020-11-24
11/24/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,1092896.0,54688515.84,1.5,2020-11-24
11/24/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,242120.0,52418980.0,1.44,2020-11-24
11/24/2020,ARKG,CERUS CORP,CERS,157085101,8188288.0,48065250.56,1.32,2020-11-24
11/24/2020,ARKG,SCHRODINGER INC,SDGR,80810D103,709277.0,46939951.86,1.29,2020-11-24
11/24/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,316864.0,43141033.6,1.18,2020-11-24
11/24/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,918214.0,41328812.14,1.13,2020-11-24
11/24/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,2269598.0,39967620.78,1.1,2020-11-24
11/24/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,414673.0,36615625.9,1.0,2020-11-24
11/24/2020,ARKG,GUARDANT HEALTH INC,GH,40131M109,320944.0,36266672.0,0.99,2020-11-24
11/24/2020,ARKG,CODEXIS INC,CDXS,192005106,1937087.0,34673857.3,0.95,2020-11-24
11/24/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,67717.0,34271573.7,0.94,2020-11-24
11/24/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,751389.0,33752393.88,0.93,2020-11-24
11/24/2020,ARKG,PHREESIA INC,PHR,71944F106,782115.0,33005253.0,0.9,2020-11-24
11/24/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,605822.0,28643264.16,0.79,2020-11-24
11/24/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,3427116.0,26937131.76,0.74,2020-11-24
11/24/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,589360.0,24493801.6,0.67,2020-11-24
11/24/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,5299048.0,21090211.04,0.58,2020-11-24
11/24/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2263192.0,20685574.88,0.57,2020-11-24
11/24/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,38980.0,17134048.8,0.47,2020-11-24
11/24/2020,ARKG,EVOGENE LTD,EVGN,M4119S104,4602387.0,13484993.91,0.37,2020-11-24
11/24/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,357625.0,10735902.5,0.29,2020-11-24
11/24/2020,ARKG,LONGVIEW ACQUISITION-A,LGVW,543195101,464786.0,7552772.5,0.21,2020-11-24
11/24/2020,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,623355.0,4831001.25,0.13,2020-11-24
11/24/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,375748.0,3167555.64,0.09,2020-11-24
