date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/20/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3158373.0,779296954.02,6.79,2021-01-20
1/20/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3658497.0,760857621.09,6.63,2021-01-20
1/20/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,18274033.0,705103563.31,6.14,2021-01-20
1/20/2021,ARKG,CAREDX INC,CDNA,14167L103,5038276.0,481659185.6,4.19,2021-01-20
1/20/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2528990.0,479926432.3,4.18,2021-01-20
1/20/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,792910.0,429971305.7,3.74,2021-01-20
1/20/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,2738484.0,411785839.08,3.59,2021-01-20
1/20/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3598908.0,392316961.08,3.42,2021-01-20
1/20/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8566487.0,387119547.53,3.37,2021-01-20
1/20/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7299489.0,357018006.99,3.11,2021-01-20
1/20/2021,ARKG,INVITAE CORP,NVTA,46185L103,6180483.0,351854897.19,3.06,2021-01-20
1/20/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1451015.0,343455250.5,2.99,2021-01-20
1/20/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6739994.0,343874493.88,2.99,2021-01-20
1/20/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3445241.0,333912757.72,2.91,2021-01-20
1/20/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3935339.0,264848314.7,2.31,2021-01-20
1/20/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,14983948.0,263417805.84,2.29,2021-01-20
1/20/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,116772.0,219539534.04,1.91,2021-01-20
1/20/2021,ARKG,INCYTE CORP,INCY,45337C102,2211123.0,213085923.51,1.86,2021-01-20
1/20/2021,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,211073472.75,211073472.75,1.84,2021-01-20
