date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/20/2021,ARKF,SQUARE INC - A,SQ,852234103,1024773.0,232264800.45,9.18,2021-01-20
1/20/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,63073.0,125158276.82,4.95,2021-01-20
1/20/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1350648.0,118951569.36,4.7,2021-01-20
1/20/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,785080.0,116615783.2,4.61,2021-01-20
1/20/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,867623.0,99507681.87,3.93,2021-01-20
1/20/2021,ARKF,SEA LTD-ADR,SE,81141R100,423770.0,98801975.5,3.91,2021-01-20
1/20/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,1348244.0,97936444.16,3.87,2021-01-20
1/20/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,371549.0,90754558.74,3.59,2021-01-20
1/20/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,37474.0,85113531.97,3.36,2021-01-20
1/20/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,1687615.0,80987754.94,3.2,2021-01-20
1/20/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,294471.0,78179105.79,3.09,2021-01-20
1/20/2021,ARKF,TWILIO INC - A,TWLO,90138F102,174648.0,68631424.56,2.71,2021-01-20
1/20/2021,ARKF,AMAZON.COM INC,AMZN,023135106,18846.0,61501659.48,2.43,2021-01-20
1/20/2021,ARKF,DOCUSIGN INC,DOCU,256163106,236714.0,60435451.34,2.39,2021-01-20
1/20/2021,ARKF,SNAP INC - A,SNAP,83304A106,1116496.0,58281091.2,2.3,2021-01-20
1/20/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,764996.0,55220804.27,2.18,2021-01-20
1/20/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,172402.0,55001410.06,2.17,2021-01-20
1/20/2021,ARKF,APPLE INC,AAPL,037833100,399358.0,52727236.74,2.08,2021-01-20
1/20/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,9159545.0,50632313.33,2.0,2021-01-20
1/20/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,42008.0,50450767.84,1.99,2021-01-20
1/20/2021,ARKF,Z HOLDINGS CORP,4689,6084848,7437207.0,49018608.35,1.94,2021-01-20
1/20/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,731711.0,48607561.73,1.92,2021-01-20
