date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/6/2021,ARKF,SQUARE INC - A,SQ,852234103,959231.0,217639921.59,10.61,2021-01-06
1/6/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,697824.0,93982936.32,4.58,2021-01-06
1/6/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,56105.0,88195937.9,4.3,2021-01-06
1/6/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,735385.0,85113459.9,4.15,2021-01-06
1/6/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1132383.0,83366036.46,4.06,2021-01-06
1/6/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,1198380.0,80423281.8,3.92,2021-01-06
1/6/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,330261.0,74913102.63,3.65,2021-01-06
1/6/2021,ARKF,SEA LTD-ADR,SE,81141R100,376658.0,73211015.46,3.57,2021-01-06
1/6/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,33314.0,71150775.18,3.47,2021-01-06
1/6/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,1500415.0,59992216.07,2.92,2021-01-06
1/6/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,261711.0,59568040.71,2.9,2021-01-06
1/6/2021,ARKF,AMAZON.COM INC,AMZN,023135106,16766.0,52618079.08,2.56,2021-01-06
1/6/2021,ARKF,TWILIO INC - A,TWLO,90138F102,155200.0,51062352.0,2.49,2021-01-06
1/6/2021,ARKF,SNAP INC - A,SNAP,83304A106,992424.0,49442563.68,2.41,2021-01-06
1/6/2021,ARKF,DOCUSIGN INC,DOCU,256163106,210402.0,47098487.7,2.3,2021-01-06
1/6/2021,ARKF,APPLE INC,AAPL,037833100,354950.0,44936670.0,2.19,2021-01-06
1/6/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,172402.0,44515920.42,2.17,2021-01-06
1/6/2021,ARKF,Z HOLDINGS CORP,4689,6084848,6608007.0,44252194.21,2.16,2021-01-06
1/6/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,650383.0,44382135.92,2.16,2021-01-06
1/6/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,681796.0,44358978.96,2.16,2021-01-06
1/6/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,37328.0,40587107.68,1.98,2021-01-06
1/6/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,153080.0,40307494.8,1.96,2021-01-06
1/6/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,8140345.0,38270325.64,1.87,2021-01-06
1/6/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,171827.0,37801940.0,1.84,2021-01-06
1/6/2021,ARKF,SPLUNK INC,SPLK,848637104,230617.0,37267707.2,1.82,2021-01-06
