date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/28/2021,ARKK,TESLA INC,TSLA,88160R101,2640907.0,2206292935.01,9.54,2021-01-28
1/28/2021,ARKK,ROKU INC,ROKU,77543R102,3956933.0,1598640501.33,6.91,2021-01-28
1/28/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4495919.0,1181707349.96,5.11,2021-01-28
1/28/2021,ARKK,SQUARE INC - A,SQ,852234103,4964808.0,1091810927.28,4.72,2021-01-28
1/28/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6030285.0,1009590314.7,4.37,2021-01-28
1/28/2021,ARKK,INVITAE CORP,NVTA,46185L103,17340761.0,883164957.73,3.82,2021-01-28
1/28/2021,ARKK,PROTO LABS INC,PRLB,743713109,3088854.0,677910787.38,2.93,2021-01-28
1/28/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,2717183.0,665356601.21,2.88,2021-01-28
1/28/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,4874781.0,645177265.35,2.79,2021-01-28
1/28/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1974300.0,642516192.0,2.78,2021-01-28
1/28/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,5899546.0,529838226.26,2.29,2021-01-28
1/28/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,22107524.0,523506168.32,2.26,2021-01-28
1/28/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2149638.0,511162420.02,2.21,2021-01-28
1/28/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,448267.0,502314552.19,2.17,2021-01-28
1/28/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2888651.0,490290734.23,2.12,2021-01-28
1/28/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1269837.0,480747589.83,2.08,2021-01-28
1/28/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1325321.0,478321602.11,2.07,2021-01-28
1/28/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,3370469.0,470348948.95,2.03,2021-01-28
1/28/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3706281.0,466361338.23,2.02,2021-01-28
1/28/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1884486.0,441233552.04,1.91,2021-01-28
1/28/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,9996521.0,436348141.65,1.89,2021-01-28
1/28/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6413936.0,410299485.92,1.77,2021-01-28
1/28/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5967005.0,403846898.4,1.75,2021-01-28
1/28/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6611519.0,404162156.47,1.75,2021-01-28
1/28/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1216100.0,397482285.0,1.72,2021-01-28
1/28/2021,ARKK,PAGERDUTY INC,PD,69553P100,7502431.0,365593462.63,1.58,2021-01-28
1/28/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3006628.0,338576379.08,1.46,2021-01-28
1/28/2021,ARKK,2U INC,TWOU,90214J101,8001808.0,328314182.24,1.42,2021-01-28
1/28/2021,ARKK,STRATASYS LTD,SSYS,M85548101,7002944.0,306308770.56,1.32,2021-01-28
