date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/16/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,3155453.0,462620964.33,7.66,2020-12-16
12/16/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,4124446.0,418507535.62,6.93,2020-12-16
12/16/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,20016038.0,414131826.22,6.86,2020-12-16
12/16/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2531172.0,358135526.28,5.93,2020-12-16
12/16/2020,ARKG,INVITAE CORP,NVTA,46185L103,6195551.0,313866613.66,5.2,2020-12-16
12/16/2020,ARKG,TELADOC HEALTH INC,TDOC,87918A105,1277490.0,238980054.3,3.96,2020-12-16
12/16/2020,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,2401374.0,221094504.18,3.66,2020-12-16
12/16/2020,ARKG,PERSONALIS INC,PSNL,71535D106,6008178.0,215753671.98,3.57,2020-12-16
12/16/2020,ARKG,CAREDX INC,CDNA,14167L103,3198581.0,213345352.7,3.53,2020-12-16
12/16/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,4469630.0,205692372.6,3.41,2020-12-16
12/16/2020,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,1523658.0,194007373.14,3.21,2020-12-16
12/16/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,175511113.46,175511113.46,2.91,2020-12-16
12/16/2020,ARKG,CELLECTIS - ADR,CLLS,15117K103,6051067.0,170579578.73,2.82,2020-12-16
12/16/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,6775768.0,148321561.52,2.46,2020-12-16
12/16/2020,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,2022952.0,129448698.48,2.14,2020-12-16
12/16/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2184178.0,116569579.86,1.93,2020-12-16
12/16/2020,ARKG,INCYTE CORP,INCY,45337C102,1285006.0,110806067.38,1.83,2020-12-16
12/16/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,477306.0,110787495.66,1.83,2020-12-16
