date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/9/2020,ARKK,TESLA INC,TSLA,88160R101,2503355.0,1513228030.4,10.09,2020-12-09
12/9/2020,ARKK,ROKU INC,ROKU,77543R102,3264151.0,999580960.73,6.67,2020-12-09
12/9/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6576266.0,964277883.58,6.43,2020-12-09
12/9/2020,ARKK,INVITAE CORP,NVTA,46185L103,17598486.0,925328393.88,6.17,2020-12-09
12/9/2020,ARKK,SQUARE INC - A,SQ,852234103,3792400.0,785178496.0,5.24,2020-12-09
12/9/2020,ARKK,TELADOC HEALTH INC,TDOC,87918A105,3036586.0,583874756.08,3.89,2020-12-09
12/9/2020,ARKK,PROTO LABS INC,PRLB,743713109,3099828.0,467299071.0,3.12,2020-12-09
12/9/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1363680.0,453355416.0,3.02,2020-12-09
12/9/2020,ARKK,ZILLOW GROUP INC - C,Z,98954M200,3723836.0,436545294.28,2.91,2020-12-09
12/9/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19413194.0,410200789.22,2.74,2020-12-09
12/9/2020,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,7140537.0,361168361.46,2.41,2020-12-09
12/9/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7307691.0,337469170.38,2.25,2020-12-09
12/9/2020,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6654627.0,324146881.17,2.16,2020-12-09
12/9/2020,ARKK,TWILIO INC - A,TWLO,90138F102,1012190.0,316349862.6,2.11,2020-12-09
12/9/2020,ARKK,LENDINGTREE INC,TREE UW,52603B107,1180593.0,314332886.25,2.1,2020-12-09
12/9/2020,ARKK,PAGERDUTY INC,PD,69553P100,7613933.0,313846318.26,2.09,2020-12-09
12/9/2020,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,2398512.0,312598068.96,2.08,2020-12-09
