date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/17/2020,ARKF,SQUARE INC - A,SQ,852234103,799656.0,184512625.44,11.1,2020-12-17
12/17/2020,ARKF,MERCADOLIBRE INC,MELI,58733R102,47521.0,79834804.79,4.8,2020-12-17
12/17/2020,ARKF,ZILLOW GROUP INC - C,Z,98954M200,554330.0,76791334.9,4.62,2020-12-17
12/17/2020,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,951984.0,67590864.0,4.07,2020-12-17
12/17/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,584196.0,65891466.84,3.96,2020-12-17
12/17/2020,ARKF,ADYEN NV,ADYEN,BZ1HM42,26474.0,61889422.83,3.72,2020-12-17
12/17/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,262349.0,61785812.99,3.72,2020-12-17
12/17/2020,ARKF,SEA LTD-ADR,SE,81141R100,299195.0,59255569.75,3.56,2020-12-17
12/17/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,748328.0,56334131.84,3.39,2020-12-17
12/17/2020,ARKF,LENDINGTREE INC,TREE UW,52603B107,172402.0,46988165.1,2.83,2020-12-17
12/17/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,176346.0,46631172.78,2.81,2020-12-17
12/17/2020,ARKF,TWILIO INC - A,TWLO,90138F102,123223.0,44492128.61,2.68,2020-12-17
12/17/2020,ARKF,MEITUAN-CLASS B,3690,BGJW376,1192615.0,43843877.38,2.64,2020-12-17
12/17/2020,ARKF,SNAP INC - A,SNAP,83304A106,788371.0,41980755.75,2.53,2020-12-17
12/17/2020,ARKF,DOCUSIGN INC,DOCU,256163106,167139.0,41283333.0,2.48,2020-12-17
12/17/2020,ARKF,APPLE INC,AAPL,037833100,281933.0,36284777.1,2.18,2020-12-17
12/17/2020,ARKF,AMAZON.COM INC,AMZN,023135106,10814.0,34994969.12,2.11,2020-12-17
12/17/2020,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,121616.0,33381159.68,2.01,2020-12-17
12/17/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,544996.0,32170645.98,1.94,2020-12-17
12/17/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,6464545.0,31937474.01,1.92,2020-12-17
12/17/2020,ARKF,Z HOLDINGS CORP,4689,6084848,5246807.0,31280949.11,1.88,2020-12-17
12/17/2020,ARKF,SPLUNK INC,SPLK,848637104,183219.0,30461990.94,1.83,2020-12-17
12/17/2020,ARKF,INTUIT INC,INTU,461202103,73325.0,27886964.0,1.68,2020-12-17
12/17/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,516636.0,27350709.84,1.65,2020-12-17
12/17/2020,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,111651.0,26775026.31,1.61,2020-12-17
12/17/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,G8250T109,836587.0,24629121.28,1.48,2020-12-17
12/17/2020,ARKF,PINDUODUO INC-ADR,PDD,722304102,151540.0,22723423.0,1.37,2020-12-17
12/17/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,178840.0,22539205.2,1.36,2020-12-17
12/17/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,207620.0,21571718.0,1.3,2020-12-17
12/17/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,398927.0,20656440.06,1.24,2020-12-17
12/17/2020,ARKF,DISCOVERY LTD,DSY,6177878,1901936.0,19560731.4,1.18,2020-12-17
12/17/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,45841N107,308880.0,18586854.0,1.12,2020-12-17
12/17/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,15832.0,18681760.0,1.12,2020-12-17
12/17/2020,ARKF,BASE INC,4477,BKRQ8Q2,179800.0,17238350.06,1.04,2020-12-17
12/17/2020,ARKF,TELADOC HEALTH INC,TDOC,87918A105,86655.0,17054570.55,1.03,2020-12-17
12/17/2020,ARKF,SBI HOLDINGS INC,8473,6309466,593162.0,17083847.63,1.03,2020-12-17
12/17/2020,ARKF,JD.COM INC-ADR,JD,47215P106,196085.0,16218190.35,0.98,2020-12-17
12/17/2020,ARKF,LENDINGCLUB CORP,LC,52603A208,1879598.0,16239726.72,0.98,2020-12-17
12/17/2020,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,228280.0,16059498.0,0.97,2020-12-17
12/17/2020,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,470838.0,15843698.7,0.95,2020-12-17
12/17/2020,ARKF,TRANSUNION,TRU,89400J107,157072.0,15644371.2,0.94,2020-12-17
12/17/2020,ARKF,NVIDIA CORP,NVDA,67066G104,28531.0,15225568.15,0.92,2020-12-17
12/17/2020,ARKF,YEAHKA LTD,9923,BL58D39,2662800.0,12829005.21,0.77,2020-12-17
12/17/2020,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,63619.0,12802687.56,0.77,2020-12-17
12/17/2020,ARKF,KE HOLDINGS INC,BEKE,482497104,186123.0,11701553.01,0.7,2020-12-17
12/17/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,13821.0,7979554.35,0.48,2020-12-17
12/17/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,5277582.46,5277582.46,0.32,2020-12-17
12/17/2020,ARKF,JD HEALTH INTERNATIONAL INC,6618,BMW8R04,116325.0,2093201.78,0.13,2020-12-17
12/17/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,21807.0,927669.78,0.06,2020-12-17
12/17/2020,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,11291.0,607455.8,0.04,2020-12-17
12/17/2020,ARKF,JAPANESE YEN,,CCTJPY,38887434.0,376980.6,0.02,2020-12-17
12/17/2020,ARKF,ZSCALER INC,ZS,98980G102,929.0,174429.04,0.01,2020-12-17
