date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/17/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,3090005.0,460812445.65,7.52,2020-12-17
12/17/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,4049230.0,419621704.9,6.85,2020-12-17
12/17/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,20016038.0,400320760.0,6.53,2020-12-17
12/17/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2531172.0,366007471.2,5.97,2020-12-17
12/17/2020,ARKG,INVITAE CORP,NVTA,46185L103,6195551.0,292058274.14,4.77,2020-12-17
12/17/2020,ARKG,TELADOC HEALTH INC,TDOC,87918A105,1304489.0,256736480.09,4.19,2020-12-17
12/17/2020,ARKG,PERSONALIS INC,PSNL,71535D106,6008178.0,222062258.88,3.62,2020-12-17
12/17/2020,ARKG,CAREDX INC,CDNA,14167L103,3198581.0,220382230.9,3.6,2020-12-17
12/17/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,4609648.0,213288412.96,3.48,2020-12-17
12/17/2020,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,1551757.0,211101022.28,3.45,2020-12-17
12/17/2020,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,2272722.0,209658604.5,3.42,2020-12-17
12/17/2020,ARKG,CELLECTIS - ADR,CLLS,15117K103,6051067.0,165194129.1,2.7,2020-12-17
12/17/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,6775768.0,151167384.08,2.47,2020-12-17
12/17/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,131460826.39,131460826.39,2.15,2020-12-17
12/17/2020,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,2022952.0,126859319.92,2.07,2020-12-17
12/17/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,529306.0,125403177.52,2.05,2020-12-17
12/17/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2184178.0,119081384.56,1.94,2020-12-17
12/17/2020,ARKG,INCYTE CORP,INCY,45337C102,1337606.0,118083857.68,1.93,2020-12-17
12/17/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,1168978.0,107522596.44,1.75,2020-12-17
12/17/2020,ARKG,VERACYTE INC,VCYT,92337F107,2169953.0,103832251.05,1.69,2020-12-17
12/17/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,5472557.0,102719894.89,1.68,2020-12-17
