date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
11/24/2020,ARKQ,TESLA INC,TSLA,88160R101,239425.0,132971856.5,12.5,2020-11-24
11/24/2020,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1630255.0,71731220.0,6.74,2020-11-24
11/24/2020,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,25789.0,45617646.32,4.29,2020-11-24
11/24/2020,ARKQ,DEERE & CO,DE,244199105,151695.0,39669759.45,3.73,2020-11-24
11/24/2020,ARKQ,2U INC,TWOU,90214J101,1209050.0,39560116.0,3.72,2020-11-24
11/24/2020,ARKQ,TRIMBLE INC,TRMB,896239100,631990.0,38292274.1,3.6,2020-11-24
11/24/2020,ARKQ,PROTO LABS INC,PRLB,743713109,277505.0,37851682.0,3.56,2020-11-24
11/24/2020,ARKQ,JD.COM INC-ADR,JD,47215P106,418026.0,37547095.32,3.53,2020-11-24
11/24/2020,ARKQ,XILINX INC,XLNX,983919101,262166.0,34925754.52,3.28,2020-11-24
11/24/2020,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,825469.0,33868993.07,3.18,2020-11-24
11/24/2020,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1562432.0,33686033.92,3.17,2020-11-24
11/24/2020,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,1147332.0,33020214.96,3.1,2020-11-24
11/24/2020,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1008016.0,32891562.08,3.09,2020-11-24
11/24/2020,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,604709.0,31541621.44,2.97,2020-11-24
11/24/2020,ARKQ,CATERPILLAR INC,CAT,149123101,174570.0,30881433.0,2.9,2020-11-24
11/24/2020,ARKQ,STRATASYS LTD,SSYS,M85548101,1704221.0,25870074.78,2.43,2020-11-24
11/24/2020,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,161931.0,25661205.57,2.41,2020-11-24
11/24/2020,ARKQ,AEROVIRONMENT INC,AVAV,008073108,284518.0,25296495.38,2.38,2020-11-24
11/24/2020,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,254213.0,24567144.32,2.31,2020-11-24
11/24/2020,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,962124.0,24043478.76,2.26,2020-11-24
11/24/2020,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,956871.0,23883500.16,2.25,2020-11-24
11/24/2020,ARKQ,SPLUNK INC,SPLK,848637104,107051.0,21248552.99,2.0,2020-11-24
11/24/2020,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,151708.0,20383486.88,1.92,2020-11-24
11/24/2020,ARKQ,SYNOPSYS INC,SNPS,871607107,86751.0,18693972.99,1.76,2020-11-24
11/24/2020,ARKQ,TERADYNE INC,TER,880770102,166495.0,18146290.05,1.71,2020-11-24
11/24/2020,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,3339018.0,16661699.82,1.57,2020-11-24
11/24/2020,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,455374.0,15072879.4,1.42,2020-11-24
11/24/2020,ARKQ,ANSYS INC,ANSS,03662Q105,44646.0,14292077.52,1.34,2020-11-24
11/24/2020,ARKQ,AMAZON.COM INC,AMZN,023135106,4399.0,13716345.94,1.29,2020-11-24
11/24/2020,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,18098.0,13118154.32,1.23,2020-11-24
11/24/2020,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,145082.0,10995764.78,1.03,2020-11-24
11/24/2020,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,89746.0,10846701.56,1.02,2020-11-24
11/24/2020,ARKQ,EXONE CO/THE,XONE,302104104,1003858.0,10771396.34,1.01,2020-11-24
11/24/2020,ARKQ,NVIDIA CORP,NVDA,67066G104,20288.0,10515473.28,0.99,2020-11-24
11/24/2020,ARKQ,AUTODESK INC,ADSK,052769106,38808.0,10050107.76,0.94,2020-11-24
11/24/2020,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,39112.0,10044352.72,0.94,2020-11-24
11/24/2020,ARKQ,APPLE INC,AAPL,037833100,80982.0,9326696.94,0.88,2020-11-24
11/24/2020,ARKQ,HONEYWELL INTERNATIONAL INC,HON,438516106,26220.0,5450875.8,0.51,2020-11-24
11/24/2020,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,189644.0,4595074.12,0.43,2020-11-24
11/24/2020,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,198425.0,1672722.75,0.16,2020-11-24
