date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/13/2021,ARKW,TESLA INC,TSLA,88160R101,730116.0,623818411.56,10.03,2021-01-13
1/13/2021,ARKW,ROKU INC,ROKU,77543R102,859460.0,351175356.0,5.65,2021-01-13
1/13/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6641088.0,267967900.8,4.31,2021-01-13
1/13/2021,ARKW,SQUARE INC - A,SQ,852234103,1117102.0,257961193.84,4.15,2021-01-13
1/13/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1011116.0,234366577.64,3.77,2021-01-13
1/13/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,572614.0,198731414.84,3.2,2021-01-13
1/13/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2496024.0,195763162.32,3.15,2021-01-13
1/13/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,6570108.0,152952114.24,2.46,2021-01-13
1/13/2021,ARKW,SEA LTD-ADR,SE,81141R100,604517.0,137092365.26,2.2,2021-01-13
1/13/2021,ARKW,SNAP INC - A,SNAP,83304A106,2558432.0,136697021.76,2.2,2021-01-13
1/13/2021,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1869194.0,136002555.44,2.19,2021-01-13
1/13/2021,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,521146.0,131141179.44,2.11,2021-01-13
1/13/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,528438.0,129414466.2,2.08,2021-01-13
1/13/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1076451.0,126848985.84,2.04,2021-01-13
1/13/2021,ARKW,NETFLIX INC,NFLX,64110L106,248710.0,126292450.9,2.03,2021-01-13
1/13/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,848254.0,121495420.42,1.95,2021-01-13
1/13/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,100554.0,120646700.28,1.94,2021-01-13
1/13/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,330102.0,120365092.26,1.94,2021-01-13
1/13/2021,ARKW,TWILIO INC - A,TWLO,90138F102,308602.0,113874138.0,1.83,2021-01-13
1/13/2021,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1233563.0,111748472.17,1.8,2021-01-13
1/13/2021,ARKW,DOCUSIGN INC,DOCU,256163106,433413.0,110888716.05,1.78,2021-01-13
1/13/2021,ARKW,LENDINGTREE INC,TREE UW,52603B107,356781.0,109713725.31,1.76,2021-01-13
1/13/2021,ARKW,HUYA INC-ADR,HUYA,44852D108,4722199.0,102802272.23,1.65,2021-01-13
1/13/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,3805448.0,102138224.32,1.64,2021-01-13
1/13/2021,ARKW,PAGERDUTY INC,PD,69553P100,2237999.0,101582774.61,1.63,2021-01-13
1/13/2021,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,406061.0,96212093.34,1.55,2021-01-13
1/13/2021,ARKW,NVIDIA CORP,NVDA,67066G104,166166.0,89940670.82,1.45,2021-01-13
1/13/2021,ARKW,KE HOLDINGS INC,BEKE,482497104,1383070.0,88433495.8,1.42,2021-01-13
1/13/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,48514.0,87237389.66,1.4,2021-01-13
1/13/2021,ARKW,VERACYTE INC,VCYT,92337F107,1654255.0,82630037.25,1.33,2021-01-13
1/13/2021,ARKW,2U INC,TWOU,90214J101,1892624.0,82215586.56,1.32,2021-01-13
1/13/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,477959.0,80019895.78,1.29,2021-01-13
1/13/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,521549.0,78821700.37,1.27,2021-01-13
1/13/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,937636.0,74232642.12,1.19,2021-01-13
1/13/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,308744.0,72647463.2,1.17,2021-01-13
1/13/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,88363.0,69404718.35,1.12,2021-01-13
1/13/2021,ARKW,AGORA INC-ADR,API,00851L103,1700749.0,67536742.79,1.09,2021-01-13
1/13/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,785360.0,64776492.8,1.04,2021-01-13
1/13/2021,ARKW,JD.COM INC-ADR,JD,47215P106,718479.0,64979240.76,1.04,2021-01-13
1/13/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,278422.0,63040309.24,1.01,2021-01-13
1/13/2021,ARKW,HUBSPOT INC,HUBS,443573100,155190.0,62125660.8,1.0,2021-01-13
1/13/2021,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,508551.0,60634535.73,0.97,2021-01-13
1/13/2021,ARKW,APPLE INC,AAPL,037833100,458050.0,59954164.5,0.96,2021-01-13
1/13/2021,ARKW,SPLUNK INC,SPLK,848637104,346548.0,59138416.2,0.95,2021-01-13
1/13/2021,ARKW,ADOBE INC,ADBE,00724F101,116606.0,55043862.3,0.89,2021-01-13
1/13/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,237636.0,54625387.32,0.88,2021-01-13
1/13/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1221723.0,53328208.95,0.86,2021-01-13
1/13/2021,ARKW,SALESFORCE.COM INC,CRM,79466L302,241902.0,52778178.36,0.85,2021-01-13
1/13/2021,ARKW,LENDINGCLUB CORP,LC,52603A208,4628718.0,52443374.94,0.84,2021-01-13
1/13/2021,ARKW,OKTA INC,OKTA,679295105,198089.0,50829637.4,0.82,2021-01-13
1/13/2021,ARKW,SYNOPSYS INC,SNPS,871607107,197263.0,50724207.82,0.82,2021-01-13
1/13/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,3921609.0,44823990.87,0.72,2021-01-13
1/13/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1426909.0,36386179.5,0.59,2021-01-13
1/13/2021,ARKW,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,29814490.71,29814490.71,0.48,2021-01-13
1/13/2021,ARKW,SKILLZ INC,SKLZ,83067L109,491663.0,12935653.53,0.21,2021-01-13
