date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/23/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,20016038.0,570457083.0,7.35,2020-12-23
12/23/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2853841.0,494370876.43,6.37,2020-12-23
12/23/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2831290.0,472145920.4,6.08,2020-12-23
12/23/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3944931.0,401041685.46,5.17,2020-12-23
12/23/2020,ARKG,TELADOC HEALTH INC,TDOC,87918A105,1744709.0,365376958.78,4.71,2020-12-23
12/23/2020,ARKG,INVITAE CORP,NVTA,46185L103,6195551.0,315911145.49,4.07,2020-12-23
12/23/2020,ARKG,PERSONALIS INC,PSNL,71535D106,6756422.0,288431655.18,3.72,2020-12-23
12/23/2020,ARKG,CAREDX INC,CDNA,14167L103,3710851.0,283620341.93,3.65,2020-12-23
12/23/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,5376366.0,267259153.86,3.44,2020-12-23
12/23/2020,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,2650791.0,267199732.8,3.44,2020-12-23
12/23/2020,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,1878688.0,264895008.0,3.41,2020-12-23
12/23/2020,ARKG,CELLECTIS - ADR,CLLS,15117K103,6051067.0,191455759.88,2.47,2020-12-23
12/23/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7902789.0,191247493.8,2.46,2020-12-23
12/23/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,680826.0,160566003.84,2.07,2020-12-23
12/23/2020,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,3602867.0,153085818.83,1.97,2020-12-23
12/23/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,152949852.97,152949852.97,1.97,2020-12-23
12/23/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,307267.0,151233744.73,1.95,2020-12-23
12/23/2020,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1816492.0,148225747.2,1.91,2020-12-23
12/23/2020,ARKG,INCYTE CORP,INCY,45337C102,1628464.0,143190839.52,1.85,2020-12-23
12/23/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2184178.0,138367676.3,1.78,2020-12-23
12/23/2020,ARKG,BERKELEY LIGHTS INC,BLI,084310101,1268738.0,131250946.1,1.69,2020-12-23
12/23/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,1454038.0,128507878.44,1.66,2020-12-23
12/23/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,1777500.0,128282175.0,1.65,2020-12-23
12/23/2020,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,72843.0,125889457.89,1.62,2020-12-23
12/23/2020,ARKG,VERACYTE INC,VCYT,92337F107,2159332.0,123017144.04,1.59,2020-12-23
12/23/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,6640927.0,121396145.56,1.56,2020-12-23
12/23/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,1964739.0,118414819.53,1.53,2020-12-23
12/23/2020,ARKG,ACCOLADE INC,ACCD,00437E102,2163504.0,119057625.12,1.53,2020-12-23
12/23/2020,ARKG,SCHRODINGER INC,SDGR,80810D103,1275131.0,107621056.4,1.39,2020-12-23
12/23/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,1411955.0,92440693.85,1.19,2020-12-23
12/23/2020,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3561614.0,90928005.42,1.17,2020-12-23
12/23/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,8148293.0,83194071.53,1.07,2020-12-23
12/23/2020,ARKG,CODEXIS INC,CDXS,192005106,3620495.0,82511081.05,1.06,2020-12-23
12/23/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,906426.0,82167516.9,1.06,2020-12-23
12/23/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,173141.0,79357445.94,1.02,2020-12-23
12/23/2020,ARKG,COMPUGEN LTD,CGEN,M25722105,5735230.0,77482957.3,1.0,2020-12-23
12/23/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,487305.0,72584079.75,0.94,2020-12-23
12/23/2020,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,253777.0,72372124.86,0.93,2020-12-23
12/23/2020,ARKG,PHREESIA INC,PHR,71944F106,1202633.0,69464082.08,0.9,2020-12-23
12/23/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,931558.0,68478828.58,0.88,2020-12-23
12/23/2020,ARKG,CERUS CORP,CERS,157085101,8174256.0,66783671.52,0.86,2020-12-23
12/23/2020,ARKG,GUARDANT HEALTH INC,GH,40131M109,493742.0,66378674.48,0.86,2020-12-23
12/23/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,3167084.0,46429451.44,0.6,2020-12-23
12/23/2020,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,221977.0,39525224.62,0.51,2020-12-23
12/23/2020,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,543195101,1378017.0,27560340.0,0.36,2020-12-23
12/23/2020,ARKG,908 DEVICES INC,MASS,65443P102,400540.0,24749366.6,0.32,2020-12-23
12/23/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3480348.0,24327632.52,0.31,2020-12-23
12/23/2020,ARKG,EVOGENE LTD,EVGN,M4119S104,4594499.0,23202219.95,0.3,2020-12-23
12/23/2020,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,2151992.0,21649039.52,0.28,2020-12-23
12/23/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,549980.0,18231837.0,0.23,2020-12-23
12/23/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,375102.0,5844089.16,0.08,2020-12-23
