date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/16/2020,ARKW,TESLA INC,TSLA,88160R101,777916.0,484462747.32,9.69,2020-12-16
12/16/2020,ARKW,ROKU INC,ROKU,77543R102,1225921.0,399429580.22,7.99,2020-12-16
12/16/2020,ARKW,SQUARE INC - A,SQ,852234103,1172190.0,266180905.2,5.33,2020-12-16
12/16/2020,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,541740.0,172560442.2,3.45,2020-12-16
12/16/2020,ARKW,TELADOC HEALTH INC,TDOC,87918A105,887974.0,166113296.18,3.32,2020-12-16
12/16/2020,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,5832192.0,150528875.52,3.01,2020-12-16
12/16/2020,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,6633696.0,145211605.44,2.91,2020-12-16
12/16/2020,ARKW,PAGERDUTY INC,PD,69553P100,2802689.0,129372124.24,2.59,2020-12-16
12/16/2020,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,457686.0,126170299.62,2.52,2020-12-16
12/16/2020,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1785822.0,125489711.94,2.51,2020-12-16
12/16/2020,ARKW,TWILIO INC - A,TWLO,90138F102,356286.0,125013631.68,2.5,2020-12-16
12/16/2020,ARKW,SNAP INC - A,SNAP,83304A106,2246819.0,116048201.35,2.32,2020-12-16
12/16/2020,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,464055.0,106825461.0,2.14,2020-12-16
12/16/2020,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1083293.0,103075328.95,2.06,2020-12-16
12/16/2020,ARKW,SEA LTD-ADR,SE,81141R100,530892.0,102456847.08,2.05,2020-12-16
12/16/2020,ARKW,NETFLIX INC,NFLX,64110L106,194584.0,102123520.72,2.04,2020-12-16
12/16/2020,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1361833.0,100857351.98,2.02,2020-12-16
12/16/2020,ARKW,ZILLOW GROUP INC - C,Z,98954M200,744914.0,100563390.0,2.01,2020-12-16
12/16/2020,ARKW,LENDINGTREE INC,TREE UW,52603B107,360255.0,96544737.45,1.93,2020-12-16
12/16/2020,ARKW,UNITY SOFTWARE INC,U,91332U101,631006.0,92562270.14,1.85,2020-12-16
