date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/22/2021,ARKQ,TESLA INC,TSLA,88160R101,368779.0,312223052.56,11.04,2021-01-22
1/22/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,2314995.0,160267103.85,5.67,2021-01-22
1/22/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,498149.0,125907159.75,4.45,2021-01-22
1/22/2021,ARKQ,TRIMBLE INC,TRMB,896239100,1778656.0,125857698.56,4.45,2021-01-22
1/22/2021,ARKQ,DEERE & CO,DE,244199105,400354.0,122176030.18,4.32,2021-01-22
1/22/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1271225.0,120651964.75,4.26,2021-01-22
1/22/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,3472953.0,104014942.35,3.68,2021-01-22
1/22/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,51187.0,97309046.35,3.44,2021-01-22
1/22/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6614452.0,95181964.28,3.36,2021-01-22
1/22/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,729835.0,94250891.9,3.33,2021-01-22
1/22/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1731848.0,84860552.0,3.0,2021-01-22
1/22/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,490664.0,84541407.2,2.99,2021-01-22
1/22/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1197807.0,79558340.94,2.81,2021-01-22
1/22/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,563590.0,75098367.5,2.65,2021-01-22
1/22/2021,ARKQ,CATERPILLAR INC,CAT,149123101,368334.0,70698027.96,2.5,2021-01-22
1/22/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2292808.0,66353863.52,2.35,2021-01-22
1/22/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1864901.0,63928806.28,2.26,2021-01-22
1/22/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,221839.0,59927587.46,2.12,2021-01-22
1/22/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1544348.0,58916876.2,2.08,2021-01-22
1/22/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1229995.0,56641269.75,2.0,2021-01-22
1/22/2021,ARKQ,PROTO LABS INC,PRLB,743713109,280592.0,54140226.4,1.91,2021-01-22
1/22/2021,ARKQ,2U INC,TWOU,90214J101,1201373.0,52824370.81,1.87,2021-01-22
1/22/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,2005498.0,47149257.98,1.67,2021-01-22
1/22/2021,ARKQ,TERADYNE INC,TER,880770102,329895.0,45509015.25,1.61,2021-01-22
1/22/2021,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,774989.0,42128402.04,1.49,2021-01-22
1/22/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,551015.0,41877140.0,1.48,2021-01-22
1/22/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,104545.0,40685777.65,1.44,2021-01-22
1/22/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,72460.0,39744310.0,1.4,2021-01-22
1/22/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,113128.0,38449944.64,1.36,2021-01-22
1/22/2021,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,37544749.27,37544749.27,1.33,2021-01-22
1/22/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,387129.0,34977105.15,1.24,2021-01-22
1/22/2021,ARKQ,ANSYS INC,ANSS,03662Q105,88404.0,33113486.28,1.17,2021-01-22
1/22/2021,ARKQ,XILINX INC,XLNX,983919101,227393.0,32503555.42,1.15,2021-01-22
1/22/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,816225.0,29098421.25,1.03,2021-01-22
1/22/2021,ARKQ,APPLE INC,AAPL,037833100,205158.0,28531323.06,1.01,2021-01-22
1/22/2021,ARKQ,AMAZON.COM INC,AMZN,023135106,8683.0,28586433.09,1.01,2021-01-22
1/22/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,101337.0,26952601.89,0.95,2021-01-22
1/22/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,199621.0,26996744.04,0.95,2021-01-22
1/22/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,35846.0,26672291.68,0.94,2021-01-22
1/22/2021,ARKQ,AUTODESK INC,ADSK,052769106,76752.0,22961895.84,0.81,2021-01-22
1/22/2021,ARKQ,EXONE CO/THE,XONE,302104104,997483.0,22493241.65,0.8,2021-01-22
1/22/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,438516106,51924.0,10501629.0,0.37,2021-01-22
1/22/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,281256.0,4185089.28,0.15,2021-01-22
1/22/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,197165.0,2813544.55,0.1,2021-01-22
1/22/2021,ARKQ,SPLUNK INC,SPLK,848637104,929.0,158766.1,0.01,2021-01-22
