date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/21/2020,ARKW,TESLA INC,TSLA,88160R101,804044.0,522516033.84,9.72,2020-12-21
12/21/2020,ARKW,ROKU INC,ROKU,77543R102,1119899.0,396444246.0,7.37,2020-12-21
12/21/2020,ARKW,SQUARE INC - A,SQ,852234103,1099319.0,256690986.5,4.77,2020-12-21
12/21/2020,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6028028.0,185844103.24,3.46,2020-12-21
12/21/2020,ARKW,TELADOC HEALTH INC,TDOC,87918A105,917782.0,183326954.5,3.41,2020-12-21
12/21/2020,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,519766.0,169220216.62,3.15,2020-12-21
12/21/2020,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,6856460.0,156258723.4,2.91,2020-12-21
12/21/2020,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1845783.0,128927942.55,2.4,2020-12-21
12/21/2020,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,473050.0,129043309.5,2.4,2020-12-21
12/21/2020,ARKW,PAGERDUTY INC,PD,69553P100,2727097.0,122773906.94,2.28,2020-12-21
12/21/2020,ARKW,SNAP INC - A,SNAP,83304A106,2322259.0,121593481.24,2.26,2020-12-21
12/21/2020,ARKW,TWILIO INC - A,TWLO,90138F102,332722.0,121383640.04,2.26,2020-12-21
12/21/2020,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,479644.0,114020971.68,2.12,2020-12-21
12/21/2020,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1119679.0,113322711.59,2.11,2020-12-21
12/21/2020,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,91266.0,109269131.16,2.03,2020-12-21
12/21/2020,ARKW,SEA LTD-ADR,SE,81141R100,548717.0,108042377.3,2.01,2020-12-21
12/21/2020,ARKW,UNITY SOFTWARE INC,U,91332U101,652189.0,107852494.93,2.01,2020-12-21
12/21/2020,ARKW,NETFLIX INC,NFLX,64110L106,201116.0,106372263.56,1.98,2020-12-21
12/21/2020,ARKW,ZILLOW GROUP INC - C,Z,98954M200,769938.0,105019543.2,1.95,2020-12-21
12/21/2020,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1407557.0,104004386.73,1.93,2020-12-21
12/21/2020,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,859986.0,96782824.44,1.8,2020-12-21
12/21/2020,ARKW,LENDINGTREE INC,TREE UW,52603B107,360255.0,94469668.65,1.76,2020-12-21
12/21/2020,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,2939855.0,91870468.75,1.71,2020-12-21
12/21/2020,ARKW,HUYA INC-ADR,HUYA,44852D108,4286263.0,90525874.56,1.68,2020-12-21
12/21/2020,ARKW,VERACYTE INC,VCYT,92337F107,1670364.0,85672969.56,1.59,2020-12-21
12/21/2020,ARKW,KE HOLDINGS INC,BEKE,482497104,1255396.0,83885560.72,1.56,2020-12-21
12/21/2020,ARKW,DOCUSIGN INC,DOCU,256163106,336501.0,83452248.0,1.55,2020-12-21
12/21/2020,ARKW,2U INC,TWOU,90214J101,1911052.0,76537632.6,1.42,2020-12-21
12/21/2020,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,80227.0,75054765.31,1.4,2020-12-21
12/21/2020,ARKW,MERCADOLIBRE INC,MELI,58733R102,44050.0,74792054.5,1.39,2020-12-21
12/21/2020,ARKW,AGORA INC-ADR,API,00851L103,1543719.0,67877324.43,1.26,2020-12-21
12/21/2020,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,851092.0,67176691.56,1.25,2020-12-21
12/21/2020,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,300704.0,63343297.6,1.18,2020-12-21
12/21/2020,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,433819.0,62639125.41,1.16,2020-12-21
12/21/2020,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,151174.0,61825630.78,1.15,2020-12-21
12/21/2020,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,712852.0,61454970.92,1.14,2020-12-21
12/21/2020,ARKW,HUBSPOT INC,HUBS,443573100,140862.0,57783001.02,1.07,2020-12-21
12/21/2020,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,535596.0,56146528.68,1.04,2020-12-21
12/21/2020,ARKW,SPLUNK INC,SPLK,848637104,314573.0,54852094.01,1.02,2020-12-21
12/21/2020,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,210848.0,54911144.64,1.02,2020-12-21
12/21/2020,ARKW,NVIDIA CORP,NVDA,67066G104,102299.0,54555033.71,1.01,2020-12-21
12/21/2020,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,215676.0,53528626.44,1.0,2020-12-21
12/21/2020,ARKW,APPLE INC,AAPL,037833100,415786.0,53316238.78,0.99,2020-12-21
12/21/2020,ARKW,ADOBE INC,ADBE,00724F101,105825.0,52742121.75,0.98,2020-12-21
12/21/2020,ARKW,JD.COM INC-ADR,JD,47215P106,652167.0,52590746.88,0.98,2020-12-21
12/21/2020,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1108927.0,52186104.62,0.97,2020-12-21
12/21/2020,ARKW,OKTA INC,OKTA,679295105,179801.0,49542367.54,0.92,2020-12-21
12/21/2020,ARKW,SALESFORCE.COM INC,CRM,79466L302,219582.0,49728735.54,0.92,2020-12-21
12/21/2020,ARKW,SYNOPSYS INC,SNPS,871607107,179047.0,45520909.28,0.85,2020-12-21
12/21/2020,ARKW,LENDINGCLUB CORP,LC,52603A208,4673794.0,40475056.04,0.75,2020-12-21
12/21/2020,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1295172.0,36925353.72,0.69,2020-12-21
12/21/2020,ARKW,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,13843354.05,13843354.05,0.26,2020-12-21
