date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/20/2021,ARKQ,TESLA INC,TSLA,88160R101,358046.0,304500220.7,11.5,2021-01-20
1/20/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,2382617.0,167045277.87,6.31,2021-01-20
1/20/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,473392.0,123507972.8,4.67,2021-01-20
1/20/2021,ARKQ,TRIMBLE INC,TRMB,896239100,1726852.0,123331769.84,4.66,2021-01-20
1/20/2021,ARKQ,DEERE & CO,DE,244199105,388690.0,116972368.6,4.42,2021-01-20
1/20/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1094430.0,104310123.3,3.94,2021-01-20
1/20/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,3203055.0,94041694.8,3.55,2021-01-20
1/20/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,49693.0,93765721.7,3.54,2021-01-20
1/20/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,646111.0,84407941.04,3.19,2021-01-20
1/20/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,476372.0,83122150.28,3.14,2021-01-20
1/20/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1681407.0,80707536.0,3.05,2021-01-20
1/20/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6421811.0,73979262.72,2.79,2021-01-20
1/20/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,547174.0,71942437.52,2.72,2021-01-20
1/20/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1162923.0,69659087.7,2.63,2021-01-20
1/20/2021,ARKQ,CATERPILLAR INC,CAT,149123101,357606.0,68781938.04,2.6,2021-01-20
1/20/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2226041.0,66002115.65,2.49,2021-01-20
1/20/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1810590.0,57993197.7,2.19,2021-01-20
1/20/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1544348.0,56291484.6,2.13,2021-01-20
1/20/2021,ARKQ,PROTO LABS INC,PRLB,743713109,280592.0,53722144.32,2.03,2021-01-20
1/20/2021,ARKQ,2U INC,TWOU,90214J101,1201373.0,53485125.96,2.02,2021-01-20
1/20/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1194175.0,52101855.25,1.97,2021-01-20
1/20/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,181115.0,49522274.45,1.87,2021-01-20
1/20/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,1947088.0,45425563.04,1.72,2021-01-20
1/20/2021,ARKQ,TERADYNE INC,TER,880770102,320283.0,44394426.63,1.68,2021-01-20
1/20/2021,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,752417.0,40720808.04,1.54,2021-01-20
1/20/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,101503.0,39357788.25,1.49,2021-01-20
1/20/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,109834.0,37526982.78,1.42,2021-01-20
1/20/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,481896.0,36546992.64,1.38,2021-01-20
1/20/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,375856.0,33101637.92,1.25,2021-01-20
1/20/2021,ARKQ,ANSYS INC,ANSS,03662Q105,85830.0,32499529.5,1.23,2021-01-20
1/20/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,60611.0,32404458.93,1.22,2021-01-20
1/20/2021,ARKQ,XILINX INC,XLNX,983919101,220769.0,30466122.0,1.15,2021-01-20
1/20/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,792447.0,29344312.41,1.11,2021-01-20
1/20/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,34802.0,27791833.14,1.05,2021-01-20
1/20/2021,ARKQ,AMAZON.COM INC,AMZN,023135106,8431.0,27513556.78,1.04,2021-01-20
1/20/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,193807.0,26601948.82,1.0,2021-01-20
1/20/2021,ARKQ,APPLE INC,AAPL,037833100,199182.0,26297999.46,0.99,2021-01-20
1/20/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,98385.0,25970688.45,0.98,2021-01-20
1/20/2021,ARKQ,AUTODESK INC,ADSK,052769106,74520.0,22995381.6,0.87,2021-01-20
1/20/2021,ARKQ,EXONE CO/THE,XONE,302104104,997483.0,21844877.7,0.83,2021-01-20
1/20/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,438516106,50412.0,10489728.96,0.4,2021-01-20
1/20/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,273066.0,3839307.96,0.15,2021-01-20
1/20/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,197165.0,3016624.5,0.11,2021-01-20
1/20/2021,ARKQ,SPLUNK INC,SPLK,848637104,906.0,156429.96,0.01,2021-01-20
